DateTime,Junction,Traffic_Volume,Temperature,Humidity,Rainfall_mm,Holiday_Event,Hour,DayOfWeek,Month,Is_Weekend,traffic_level
2022-01-01 00:00:00,Salt Lake,205,21.3,92.6,2.0,0,0,5,1,1,Medium
2022-01-01 01:00:00,New Town,222,19.8,86.0,0.0,0,1,5,1,1,High
2022-01-01 02:00:00,Park Street,199,22.1,80.0,0.0,0,2,5,1,1,Medium
2022-01-01 03:00:00,Salt Lake,227,21.1,75.9,0.0,0,3,5,1,1,High
2022-01-01 04:00:00,Salt Lake,218,19.0,79.1,5.0,0,4,5,1,1,Medium
2022-01-01 05:00:00,New Town,192,22.8,80.4,0.0,0,5,5,1,1,Medium
2022-01-01 06:00:00,Park Street,213,17.5,82.2,0.0,0,6,5,1,1,Medium
2022-01-01 07:00:00,Park Street,222,20.0,87.5,2.0,0,7,5,1,1,High
2022-01-01 08:00:00,Salt Lake,205,22.1,77.6,2.0,0,8,5,1,1,Medium
2022-01-01 09:00:00,Howrah Bridge,202,18.7,82.8,0.0,0,9,5,1,1,Medium
2022-01-01 10:00:00,Salt Lake,194,20.8,73.5,2.0,0,10,5,1,1,Medium
2022-01-01 11:00:00,Salt Lake,182,21.3,77.9,0.2,0,11,5,1,1,Medium
2022-01-01 12:00:00,Salt Lake,172,18.5,81.9,0.0,0,12,5,1,1,Low
2022-01-01 13:00:00,Salt Lake,137,20.0,83.5,0.0,0,13,5,1,1,Low
2022-01-01 14:00:00,New Town,131,19.9,76.2,0.0,0,14,5,1,1,Low
2022-01-01 15:00:00,Park Street,110,19.1,77.8,0.0,0,15,5,1,1,Low
2022-01-01 16:00:00,New Town,147,24.8,87.3,0.2,0,16,5,1,1,Low
2022-01-01 17:00:00,New Town,80,18.6,85.8,0.0,0,17,5,1,1,Low
2022-01-01 18:00:00,New Town,144,22.2,81.0,0.5,0,18,5,1,1,Low
2022-01-01 19:00:00,Salt Lake,150,19.4,68.8,0.5,0,19,5,1,1,Low
2022-01-01 20:00:00,Howrah Bridge,121,18.0,92.6,0.0,0,20,5,1,1,Low
2022-01-01 21:00:00,Park Street,83,20.4,79.9,2.0,0,21,5,1,1,Low
2022-01-01 22:00:00,Howrah Bridge,139,21.5,78.4,0.5,0,22,5,1,1,Low
2022-01-01 23:00:00,New Town,157,22.0,77.4,0.0,0,23,5,1,1,Low
2022-01-02 00:00:00,New Town,156,23.5,81.9,0.2,0,0,6,1,1,Low
2022-01-02 01:00:00,Howrah Bridge,179,26.2,81.9,5.0,0,1,6,1,1,Medium
2022-01-02 02:00:00,Howrah Bridge,232,20.8,84.8,0.0,0,2,6,1,1,High
2022-01-02 03:00:00,Howrah Bridge,225,19.0,75.4,5.0,0,3,6,1,1,High
2022-01-02 04:00:00,New Town,201,21.2,78.4,0.0,0,4,6,1,1,Medium
2022-01-02 05:00:00,New Town,193,19.8,90.2,0.0,0,5,6,1,1,Medium
2022-01-02 06:00:00,Park Street,220,22.2,81.1,0.2,0,6,6,1,1,Medium
2022-01-02 07:00:00,Park Street,221,17.7,79.1,0.2,0,7,6,1,1,High
2022-01-02 08:00:00,New Town,230,25.1,75.3,0.2,0,8,6,1,1,High
2022-01-02 09:00:00,Howrah Bridge,201,22.1,82.5,0.0,0,9,6,1,1,Medium
2022-01-02 10:00:00,Howrah Bridge,212,17.0,85.2,0.0,0,10,6,1,1,Medium
2022-01-02 11:00:00,Park Street,228,18.9,84.4,0.0,0,11,6,1,1,High
2022-01-02 12:00:00,New Town,193,22.0,78.7,0.0,0,12,6,1,1,Medium
2022-01-02 13:00:00,Park Street,163,22.7,81.8,0.0,0,13,6,1,1,Low
2022-01-02 14:00:00,Park Street,148,17.8,88.4,0.5,0,14,6,1,1,Low
2022-01-02 15:00:00,Salt Lake,134,21.8,85.4,0.0,0,15,6,1,1,Low
2022-01-02 16:00:00,Salt Lake,157,16.4,76.1,0.0,0,16,6,1,1,Low
2022-01-02 17:00:00,Salt Lake,116,20.2,67.3,0.0,0,17,6,1,1,Low
2022-01-02 18:00:00,Howrah Bridge,127,22.6,81.5,0.0,0,18,6,1,1,Low
2022-01-02 19:00:00,New Town,129,19.2,84.0,0.0,0,19,6,1,1,Low
2022-01-02 20:00:00,New Town,123,17.3,74.6,0.0,0,20,6,1,1,Low
2022-01-02 21:00:00,New Town,114,20.6,80.0,0.0,0,21,6,1,1,Low
2022-01-02 22:00:00,New Town,158,19.1,78.7,0.0,0,22,6,1,1,Low
2022-01-02 23:00:00,Salt Lake,162,21.6,80.5,0.0,0,23,6,1,1,Low
2022-01-03 00:00:00,Howrah Bridge,210,18.7,77.3,0.0,0,0,0,1,0,Medium
2022-01-03 01:00:00,Howrah Bridge,202,19.0,86.5,0.0,0,1,0,1,0,Medium
2022-01-03 02:00:00,Salt Lake,249,16.5,80.7,0.0,0,2,0,1,0,High
2022-01-03 03:00:00,Howrah Bridge,218,20.9,75.6,2.0,0,3,0,1,0,Medium
2022-01-03 04:00:00,Salt Lake,278,20.2,84.6,0.0,0,4,0,1,0,High
2022-01-03 05:00:00,New Town,213,18.1,73.7,0.5,0,5,0,1,0,Medium
2022-01-03 06:00:00,Salt Lake,259,20.9,86.4,0.2,0,6,0,1,0,High
2022-01-03 07:00:00,New Town,258,22.6,85.0,0.0,0,7,0,1,0,High
2022-01-03 08:00:00,New Town,227,20.1,86.9,0.0,0,8,0,1,0,High
2022-01-03 09:00:00,Park Street,244,21.1,79.2,10.0,0,9,0,1,0,High
2022-01-03 10:00:00,Salt Lake,251,21.1,77.5,0.0,0,10,0,1,0,High
2022-01-03 11:00:00,Park Street,169,18.1,80.4,0.0,0,11,0,1,0,Low
2022-01-03 12:00:00,Salt Lake,210,24.6,79.6,0.0,0,12,0,1,0,Medium
2022-01-03 13:00:00,Salt Lake,137,19.6,76.7,0.0,0,13,0,1,0,Low
2022-01-03 14:00:00,Park Street,156,21.8,77.2,0.5,0,14,0,1,0,Low
2022-01-03 15:00:00,Park Street,197,22.1,78.2,2.0,0,15,0,1,0,Medium
2022-01-03 16:00:00,Salt Lake,145,20.2,74.1,0.0,0,16,0,1,0,Low
2022-01-03 17:00:00,Howrah Bridge,128,21.7,83.4,0.0,0,17,0,1,0,Low
2022-01-03 18:00:00,New Town,146,21.0,79.7,0.0,0,18,0,1,0,Low
2022-01-03 19:00:00,Park Street,193,17.7,78.5,10.0,0,19,0,1,0,Medium
2022-01-03 20:00:00,New Town,120,19.9,74.4,0.0,0,20,0,1,0,Low
2022-01-03 21:00:00,Howrah Bridge,144,19.3,74.2,0.5,0,21,0,1,0,Low
2022-01-03 22:00:00,Howrah Bridge,205,19.6,89.7,0.0,0,22,0,1,0,Medium
2022-01-03 23:00:00,Howrah Bridge,224,17.9,76.9,0.2,0,23,0,1,0,High
2022-01-04 00:00:00,Park Street,221,22.9,83.1,0.0,0,0,1,1,0,High
2022-01-04 01:00:00,Howrah Bridge,212,23.9,80.8,2.0,0,1,1,1,0,Medium
2022-01-04 02:00:00,Park Street,290,22.6,66.1,0.0,0,2,1,1,0,High
2022-01-04 03:00:00,Howrah Bridge,291,23.2,89.0,0.5,0,3,1,1,0,High
2022-01-04 04:00:00,New Town,280,20.0,83.4,0.0,0,4,1,1,0,High
2022-01-04 05:00:00,New Town,256,19.4,76.2,0.0,0,5,1,1,0,High
2022-01-04 06:00:00,Salt Lake,272,19.1,79.9,0.0,0,6,1,1,0,High
2022-01-04 07:00:00,New Town,269,22.0,74.3,0.0,0,7,1,1,0,High
2022-01-04 08:00:00,Salt Lake,273,21.1,89.1,0.0,0,8,1,1,0,High
2022-01-04 09:00:00,New Town,288,20.5,75.5,0.0,0,9,1,1,0,High
2022-01-04 10:00:00,Park Street,266,23.3,77.4,0.0,0,10,1,1,0,High
2022-01-04 11:00:00,New Town,215,21.5,76.4,0.0,0,11,1,1,0,Medium
2022-01-04 12:00:00,Salt Lake,251,19.0,80.4,0.0,0,12,1,1,0,High
2022-01-04 13:00:00,Salt Lake,217,19.3,86.9,0.0,0,13,1,1,0,Medium
2022-01-04 14:00:00,Howrah Bridge,212,22.1,88.9,0.0,0,14,1,1,0,Medium
2022-01-04 15:00:00,Park Street,217,22.8,78.0,0.0,0,15,1,1,0,Medium
2022-01-04 16:00:00,New Town,158,21.8,81.9,0.0,0,16,1,1,0,Low
2022-01-04 17:00:00,Howrah Bridge,174,24.5,80.4,0.0,0,17,1,1,0,Low
2022-01-04 18:00:00,New Town,163,24.0,75.1,0.5,0,18,1,1,0,Low
2022-01-04 19:00:00,New Town,144,21.6,92.1,0.0,0,19,1,1,0,Low
2022-01-04 20:00:00,Howrah Bridge,187,19.0,86.8,0.0,0,20,1,1,0,Medium
2022-01-04 21:00:00,Howrah Bridge,238,18.1,80.9,0.0,0,21,1,1,0,High
2022-01-04 22:00:00,Howrah Bridge,162,19.9,87.9,5.0,0,22,1,1,0,Low
2022-01-04 23:00:00,Howrah Bridge,210,22.2,86.1,0.0,0,23,1,1,0,Medium
2022-01-05 00:00:00,Howrah Bridge,242,24.5,80.4,0.5,0,0,2,1,0,High
2022-01-05 01:00:00,New Town,245,21.7,81.6,0.0,0,1,2,1,0,High
2022-01-05 02:00:00,Howrah Bridge,252,23.2,87.6,0.0,0,2,2,1,0,High
2022-01-05 03:00:00,Park Street,239,20.4,75.3,0.0,0,3,2,1,0,High
2022-01-05 04:00:00,Salt Lake,277,22.1,88.4,0.0,0,4,2,1,0,High
2022-01-05 05:00:00,Howrah Bridge,262,22.5,78.9,0.0,0,5,2,1,0,High
2022-01-05 06:00:00,Howrah Bridge,235,16.9,87.6,0.0,0,6,2,1,0,High
2022-01-05 07:00:00,New Town,301,20.0,80.0,2.0,0,7,2,1,0,High
2022-01-05 08:00:00,Howrah Bridge,292,22.8,81.7,0.0,0,8,2,1,0,High
